ID,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,SPOT_ID
CRYBB2.10000.28,10000-28,3.0,SL019233,Beta-crystallin B2,CRBB2,P43320,1415,CRYBB2,Human,RFU,Protein,SL019233
RAF1.10001.7,10001-7,3.0,SL002564,RAF proto-oncogene serine/threonine-protein kinase,c-Raf,P04049,5894,RAF1,Human,RFU,Protein,SL002564
ZNF41.10003.15,10003-15,3.0,SL019245,Zinc finger protein 41,ZNF41,P51814,7592,ZNF41,Human,RFU,Protein,SL019245
ELK1.10006.25,10006-25,3.0,SL019228,ETS domain-containing protein Elk-1,ELK1,P19419,2002,ELK1,Human,RFU,Protein,SL019228
GUCA1A.10008.43,10008-43,3.0,SL019234,Guanylyl cyclase-activating protein 1,GUC1A,P43080,2978,GUCA1A,Human,RFU,Protein,SL019234
BECN1.10010.10,10010-10,3.0,SL014943,Beclin-1,BECN1,Q14457,8678,BECN1,Human,RFU,Protein,SL014943
OCRL.10011.65,10011-65,3.0,SL019246,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,4952,OCRL,Human,RFU,Protein,SL019246
SPDEF.10012.5,10012-5,3.0,SL014669,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,25803,SPDEF,Human,RFU,Protein,SL014669
NoneX.10013.34,10013-34,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
SNAI2.10014.31,10014-31,3.0,SL007803,Zinc finger protein SNAI2,SLUG,O43623,6591,SNAI2,Human,RFU,Protein,SL007803
KCNAB2.10015.119,10015-119,3.0,SL014924,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,8514,KCNAB2,Human,RFU,Protein,SL014924
NoneX.10021.1,10021-1,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
POLH.10022.207,10022-207,3.0,SL019229,DNA polymerase eta,POLH,Q9Y253,5429,POLH,Human,RFU,Protein,SL019229
VDR.10023.32,10023-32,3.0,SL004071,Vitamin D3 receptor,VDR,P11473,7421,VDR,Human,RFU,Protein,SL004071
HOGA1.10024.44,10024-44,3.0,SL019235,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,112817,HOGA1,Human,RFU,Protein,SL019235
DLD.10025.1,10025-1,3.0,SL008018,"Dihydrolipoyl dehydrogenase, mitochondrial",DLDH,P09622,1738,DLD,Human,RFU,Protein,SL008018
MUTYH.10030.8,10030-8,3.0,SL006373,Adenine DNA glycosylase,MutY homolog,Q9UIF7,4595,MUTYH,Human,RFU,Protein,SL006373
NoneX.10034.16,10034-16,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
DUSP4.10035.6,10035-6,3.0,SL007389,Dual specificity protein phosphatase 4,DUS4,Q13115,1846,DUSP4,Human,RFU,Protein,SL007389
ZHX3.10036.201,10036-201,3.0,SL019252,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,23051,ZHX3,Human,RFU,Protein,SL019252
SIGLEC12.10037.98,10037-98,3.0,SL018490,Sialic acid-binding Ig-like lectin 12,SIG12,Q96PQ1,89858,SIGLEC12,Human,RFU,Protein,SL018490
PNP.10039.32,10039-32,3.0,SL005262,Purine nucleoside phosphorylase,PNP,P00491,4860,PNP,Human,RFU,Protein,SL005262
TP63.10040.63,10040-63,3.0,SL007662,Tumor protein 63,P73L,Q9H3D4,8626,TP63,Human,RFU,Protein,SL007662
HNF4A.10041.3,10041-3,3.0,SL007226,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,3172,HNF4A,Human,RFU,Protein,SL007226
SGK3.10042.8,10042-8,3.0,SL015131,Serine/threonine-protein kinase Sgk3,SGK3,Q96BR1,100533105,SGK3,Human,RFU,Protein,SL015131
BRD4.10043.31,10043-31,3.0,SL019249,Bromodomain-containing protein 4,BRD4,O60885,23476,BRD4,Human,RFU,Protein,SL019249
WNT10A.10044.12,10044-12,3.0,SL012823,Protein Wnt-10a,WN10A,Q9GZT5,80326,WNT10A,Human,RFU,Protein,SL012823
CUL3.10045.47,10045-47,3.0,SL010989,Cullin-3,CUL3,Q13618,8452,CUL3,Human,RFU,Protein,SL010989
BIRC2.10046.55,10046-55,3.0,SL003727,Baculoviral IAP repeat-containing protein 2,cIAP-1,Q13490,329,BIRC2,Human,RFU,Protein,SL003727
NCF2.10047.12,10047-12,3.0,SL004553,Neutrophil cytosol factor 2,NCF-2,P19878,4688,NCF2,Human,RFU,Protein,SL004553
CBFB.10048.7,10048-7,3.0,SL011998,Core-binding factor subunit beta,PEBB,Q13951,865,CBFB,Human,RFU,Protein,SL011998
TERF1.10049.112,10049-112,3.0,SL019242,Telomeric repeat-binding factor 1,TERF1,P54274,7013,TERF1,Human,RFU,Protein,SL019242
ILK.10053.5,10053-5,3.0,SL004474,Integrin-linked protein kinase,ILK1,Q13418,3611,ILK,Human,RFU,Protein,SL004474
GAN.10054.3,10054-3,3.0,SL019232,Gigaxonin,GAN,Q9H2C0,8139,GAN,Human,RFU,Protein,SL019232
FOXM1.10056.5,10056-5,3.0,SL007372,Forkhead box protein M1,FOXM1,Q08050,2305,FOXM1,Human,RFU,Protein,SL007372
RAD23A.10058.1,10058-1,3.0,SL013796,UV excision repair protein RAD23 homolog A,RD23A,P54725,5886,RAD23A,Human,RFU,Protein,SL013796
FANCL.10063.10,10063-10,3.0,SL019237,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,55120,FANCL,Human,RFU,Protein,SL019237
RBBP9.10064.12,10064-12,3.0,SL011550,Putative hydrolase RBBP9,RBBP9,O75884,10741,RBBP9,Human,RFU,Protein,SL011550
PIN1.10069.2,10069-2,3.0,SL013908,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,5300,PIN1,Human,RFU,Protein,SL013908
PLCG2.10070.22,10070-22,3.0,SL016406,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,P16885,5336,PLCG2,Human,RFU,Protein,SL016406
TDP1.10073.22,10073-22,3.0,SL011411,Tyrosyl-DNA phosphodiesterase 1,TYDP1,Q9NUW8,55775,TDP1,Human,RFU,Protein,SL011411
BRD2.10074.128,10074-128,3.0,SL014748,Bromodomain-containing protein 2,BRD2,P25440,6046,BRD2,Human,RFU,Protein,SL014748
ACBD6.10075.75,10075-75,3.0,SL019254,Acyl-CoA-binding domain-containing protein 6,ACBD6,Q9BR61,84320,ACBD6,Human,RFU,Protein,SL019254
AP4M1.10076.1,10076-1,3.0,SL019225,AP-4 complex subunit mu-1,AP4M1,O00189,9179,AP4M1,Human,RFU,Protein,SL019225
BAG3.10078.5,10078-5,3.0,SL007063,BAG family molecular chaperone regulator 3,BAG3,O95817,9531,BAG3,Human,RFU,Protein,SL007063
EIF2B1.10080.9,10080-9,3.0,SL019240,Translation initiation factor eIF-2B subunit alpha,EI2BA,Q14232,1967,EIF2B1,Human,RFU,Protein,SL019240
SATB2.10081.17,10081-17,3.0,SL019243,DNA-binding protein SATB2,SATB2,Q9UPW6,23314,SATB2,Human,RFU,Protein,SL019243
NEFL.10082.251,10082-251,3.0,SL019251,Neurofilament light polypeptide,NFL,P07196,4747,NEFL,Human,RFU,Protein,SL019251
STAR.10085.25,10085-25,3.0,SL001714,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,6770,STAR,Human,RFU,Protein,SL001714
CBS.10086.39,10086-39,3.0,SL018882,Cystathionine beta-synthase,CBS,P35520,102724560,CBS,Human,RFU,Protein,SL018882
CRYAA.10087.10,10087-10,3.0,SL003675,Alpha-crystallin A chain,Alpha crystallin A chain,P02489,102724652,CRYAA,Human,RFU,Protein,SL003675
APRT.10088.37,10088-37,3.0,SL008014,Adenine phosphoribosyltransferase,APT,P07741,353,APRT,Human,RFU,Protein,SL008014
ASMTL.10089.7,10089-7,3.0,SL019244,N-acetylserotonin O-methyltransferase-like protein,ASML,O95671,8623,ASMTL,Human,RFU,Protein,SL019244
STUB1.10336.3,10336-3,3.0,SL019100,E3 ubiquitin-protein ligase CHIP,CHIP,Q9UNE7,10273,STUB1,Human,RFU,Protein,SL019100
ENO2.10339.48,10339-48,3.0,SL001731,Gamma-enolase,NSE,P09104,2026,ENO2,Human,RFU,Protein,SL001731
PIAS4.10342.55,10342-55,3.0,SL019096,E3 SUMO-protein ligase PIAS4,PIAS4,Q8N2W9,51588,PIAS4,Human,RFU,Protein,SL019096
IL10RA.10344.334,10344-334,3.0,SL005173,Interleukin-10 receptor subunit alpha,IL-10 Ra,Q13651,3587,IL10RA,Human,RFU,Protein,SL005173
STAT3.10346.5,10346-5,3.0,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,RFU,Protein,SL007221
IRF1.10351.51,10351-51,3.0,SL007108,Interferon regulatory factor 1,IRF1,P10914,3659,IRF1,Human,RFU,Protein,SL007108
STAT3.10354.57,10354-57,3.0,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,RFU,Protein,SL007221
JUN.10356.21,10356-21,3.0,SL000455,Transcription factor AP-1,c-Jun,P05412,3725,JUN,Human,RFU,Protein,SL000455
OAS1.10361.25,10361-25,3.0,SL014684,2'-5'-oligoadenylate synthase 1,OAS1,P00973,4938,OAS1,Human,RFU,Protein,SL014684
MYC.10362.35,10362-35,3.0,SL002565,Myc proto-oncogene protein,c-Myc,P01106,4609,MYC,Human,RFU,Protein,SL002565
SMAD3.10363.13,10363-13,3.0,SL004097,Mothers against decapentaplegic homolog 3,SMAD3,P84022,4088,SMAD3,Human,RFU,Protein,SL004097
SMAD2.10364.6,10364-6,3.0,SL004101,Mothers against decapentaplegic homolog 2,SMAD2,Q15796,4087,SMAD2,Human,RFU,Protein,SL004101
IL12B.IL23A.10365.132,10365-132,3.0,SL005184,Interleukin-23,IL-23,P29460|Q9NPF7,3593|51561,IL12B|IL23A,Human,RFU,Protein,SL005184
PDGFRA.10366.11,10366-11,3.0,SL001728,Platelet-derived growth factor receptor alpha,PDGFRA,P16234,5156,PDGFRA,Human,RFU,Protein,SL001728
IL12A.IL12B.10367.62,10367-62,3.0,SL001716,Interleukin-12,IL-12,P29459|P29460,3592|3593,IL12A|IL12B,Human,RFU,Protein,SL001716
STAT1.10370.21,10370-21,3.0,SL004396,Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,6772,STAT1,Human,RFU,Protein,SL004396
STAT6.10372.18,10372-18,3.0,SL007229,Signal transducer and activator of transcription 6,STAT6,P42226,6778,STAT6,Human,RFU,Protein,SL007229
NonHuman.10379.19,10379-19,3.0,SL017655,A disintegrin and metalloproteinase with thrombospondin motifs 1_MOUSE,ATS1_MOUSE,P97857,11504,Adamts1,Mouse,RFU,Non-Human,SL017655
ANGPTL3.10382.1,10382-1,3.0,SL006803,Angiopoietin-related protein 3,ANGL3,Q9Y5C1,27329,ANGPTL3,Human,RFU,Protein,SL006803
ZNRF3.10390.21,10390-21,3.0,SL018971,E3 ubiquitin-protein ligase ZNRF3,ZNRF3,Q9ULT6,84133,ZNRF3,Human,RFU,Protein,SL018971
ANGPTL3.10391.1,10391-1,3.0,SL006803,Angiopoietin-related protein 3,ANGL3,Q9Y5C1,27329,ANGPTL3,Human,RFU,Protein,SL006803
MCL1.10396.6,10396-6,3.0,SL003755,Induced myeloid leukemia cell differentiation protein Mcl-1,Mcl-1,Q07820,4170,MCL1,Human,RFU,Protein,SL003755
ANKRD1.10398.110,10398-110,3.0,SL019275,Ankyrin repeat domain-containing protein 1,ANKR1,Q15327,27063,ANKRD1,Human,RFU,Protein,SL019275
NoneX.10416.79,10416-79,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
STX12.10418.36,10418-36,3.0,SL011111,Syntaxin-12,STX12,Q86Y82,23673,STX12,Human,RFU,Protein,SL011111
SCARA5.10419.1,10419-1,3.0,SL014110,Scavenger receptor class A member 5,SCAR5,Q6ZMJ2,286133,SCARA5,Human,RFU,Protein,SL014110
FAIM.10420.30,10420-30,3.0,SL018037,Fas apoptotic inhibitory molecule 1,FAIM1,Q9NVQ4,55179,FAIM,Human,RFU,Protein,SL018037
NPDC1.10424.31,10424-31,3.0,SL015264,Neural proliferation differentiation and control protein 1,NPDC1,Q9NQX5,56654,NPDC1,Human,RFU,Protein,SL015264
B4GALT5.10425.3,10425-3,3.0,SL017972,"Beta-1,4-galactosyltransferase 5",B4GT5,O43286,9334,B4GALT5,Human,RFU,Protein,SL017972
GOSR2.10426.21,10426-21,3.0,SL018004,Golgi SNAP receptor complex member 2,GOSR2,O14653,9570,GOSR2,Human,RFU,Protein,SL018004
NoneX.10427.2,10427-2,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
KIR2DS2.10428.1,10428-1,3.0,SL018045,Killer cell immunoglobulin-like receptor 2DS2,KI2S2,P43631,100132285,KIR2DS2,Human,RFU,Protein,SL018045
SLC3A2.10430.31,10430-31,3.0,SL008664,4F2 cell-surface antigen heavy chain,4F2,P08195,6520,SLC3A2,Human,RFU,Protein,SL008664
SHISAL1.10432.3,10432-3,3.0,SL018002,Uncharacterized protein KIAA1644,K1644,Q3SXP7,85352,SHISAL1,Human,RFU,Protein,SL018002
AGA.10435.2,10435-2,3.0,SL008645,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,ASPG,P20933,175,AGA,Human,RFU,Protein,SL008645
CSF2RA.10438.19,10438-19,3.0,SL007128,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2R,P15509,1438,CSF2RA,Human,RFU,Protein,SL007128
AMY2B.10439.57,10439-57,3.0,SL005393,Alpha-amylase 2B,Alpha-amylase 2B,P19961,280,AMY2B,Human,RFU,Protein,SL005393
CLMP.10440.26,10440-26,3.0,SL008621,CXADR-like membrane protein,ACAM,Q9H6B4,79827,CLMP,Human,RFU,Protein,SL008621
TMEM190.10442.1,10442-1,3.0,SL018089,Transmembrane protein 190,TM190,Q8WZ59,147744,TMEM190,Human,RFU,Protein,SL018089
APOM.10445.20,10445-20,3.0,SL004747,Apolipoprotein M,ApoM,O95445,55937,APOM,Human,RFU,Protein,SL004747
PABPC3.10447.18,10447-18,3.0,SL018138,Polyadenylate-binding protein 3,PABP3,Q9H361,5042,PABPC3,Human,RFU,Protein,SL018138
SHISA2.10449.31,10449-31,3.0,SL008887,Protein shisa-2 homolog,TMM46,Q6UWI4,387914,SHISA2,Human,RFU,Protein,SL008887
NUCB1.10451.11,10451-11,3.0,SL008914,Nucleobindin-1,NUCB1,Q02818,4924,NUCB1,Human,RFU,Protein,SL008914
NoneX.10452.24,10452-24,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
CEACAM20.10453.7,10453-7,3.0,SL018233,Carcinoembryonic antigen-related cell adhesion molecule 20,CEA20,Q6UY09,125931,CEACAM20,Human,RFU,Protein,SL018233
DNAJC16.10454.99,10454-99,3.0,SL018290,DnaJ homolog subfamily C member 16,DJC16,Q9Y2G8,23341,DNAJC16,Human,RFU,Protein,SL018290
IL31.10455.196,10455-196,3.0,SL004678,Interleukin-31,IL-31,Q6EBC2,386653,IL31,Human,RFU,Protein,SL004678
IL18RAP.10457.3,10457-3,3.0,SL004861,Interleukin-18 receptor accessory protein,IL-18 Rb,O95256,8807,IL18RAP,Human,RFU,Protein,SL004861
CHIT1.10460.1,10460-1,3.0,SL006029,Chitotriosidase-1,Chitotriosidase-1,Q13231,1118,CHIT1,Human,RFU,Protein,SL006029
NoneX.10461.57,10461-57,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
INSL5.10462.14,10462-14,3.0,SL012880,Insulin-like peptide INSL5,INSL5,Q9Y5Q6,10022,INSL5,Human,RFU,Protein,SL012880
ALPI.10463.23,10463-23,3.0,SL002514,Intestinal-type alkaline phosphatase,"Alkaline phosphatase, intestine",P09923,248,ALPI,Human,RFU,Protein,SL002514
ANTXR1.10464.6,10464-6,3.0,SL008696,Anthrax toxin receptor 1,ANTR1,Q9H6X2,84168,ANTXR1,Human,RFU,Protein,SL008696
NoneX.10467.58,10467-58,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
TXNDC11.10470.34,10470-34,3.0,SL018369,Thioredoxin domain-containing protein 11,TXD11,Q6PKC3,51061,TXNDC11,Human,RFU,Protein,SL018369
NoneX.10471.25,10471-25,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
TNFRSF14.10472.53,10472-53,3.0,SL004145,Tumor necrosis factor receptor superfamily member 14,HVEM,Q92956,8764,TNFRSF14,Human,RFU,Protein,SL004145
TFF2.10473.2,10473-2,3.0,SL002602,Trefoil factor 2,Trefoil factor 2,Q03403,7032,TFF2,Human,RFU,Protein,SL002602
NoneX.10476.23,10476-23,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
NoneX.10477.162,10477-162,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
MMP10.10479.18,10479-18,3.0,SL000645,Stromelysin-2,MMP-10,P09238,4319,MMP10,Human,RFU,Protein,SL000645
CD59.10480.33,10480-33,3.0,SL004557,CD59 glycoprotein,CD59,P13987,966,CD59,Human,RFU,Protein,SL004557
MAGEA4.10485.56,10485-56,3.0,SL005064,Melanoma-associated antigen 4,MAGE-4,P43358,4103,MAGEA4,Human,RFU,Protein,SL005064
NoneX.10489.19,10489-19,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
RPN1.10490.3,10490-3,3.0,SL011102,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,P04843,6184,RPN1,Human,RFU,Protein,SL011102
NoneX.10491.21,10491-21,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
NoneX.10494.48,10494-48,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
NoneX.10495.10,10495-10,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
CLCA1.10496.11,10496-11,3.0,SL009322,Calcium-activated chloride channel regulator 1,CaCC,A8K7I4,1179,CLCA1,Human,RFU,Protein,SL009322
NoneX.10497.242,10497-242,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
TMEM106A.10499.1,10499-1,3.0,SL008733,Transmembrane protein 106A,T106A,Q96A25,113277,TMEM106A,Human,RFU,Protein,SL008733
NoneX.10501.3,10501-3,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
NoneX.10502.15,10502-15,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
NoneX.10503.55,10503-55,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
NoneX.10504.6,10504-6,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
RNF43.10505.12,10505-12,3.0,SL018629,E3 ubiquitin-protein ligase RNF43,RNF43,Q68DV7,54894,RNF43,Human,RFU,Protein,SL018629
PGRMC2.10506.53,10506-53,3.0,SL007962,Membrane-associated progesterone receptor component 2,PGRC2,O15173,10424,PGRMC2,Human,RFU,Protein,SL007962
ACRV1.10507.166,10507-166,3.0,SL009308,Acrosomal protein SP-10,sperm protein 10,P26436,56,ACRV1,Human,RFU,Protein,SL009308
SCIMP.10510.62,10510-62,3.0,SL018612,SLP adapter and CSK-interacting membrane protein,SCIMP,Q6UWF3,388325,SCIMP,Human,RFU,Protein,SL018612
COL6A3.10511.10,10511-10,3.0,SL004928,Collagen alpha-3(VI) chain,Collagen alpha-3(VI),P12111,1293,COL6A3,Human,RFU,Protein,SL004928
CSF2RB.10512.13,10512-13,3.0,SL007194,Cytokine receptor common subunit beta,IL3RB,P32927,1439,CSF2RB,Human,RFU,Protein,SL007194
KCNIP3.10513.13,10513-13,3.0,SL018613,Calsenilin,CSEN,Q9Y2W7,30818,KCNIP3,Human,RFU,Protein,SL018613
PTGDS.10514.5,10514-5,3.0,SL005360,Prostaglandin-H2 D-isomerase,PGD2 synthase,P41222,5730,PTGDS,Human,RFU,Protein,SL005360
NoneX.10516.53,10516-53,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
NoneX.10518.14,10518-14,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
MXRA8.10521.10,10521-10,3.0,SL017989,Matrix-remodeling-associated protein 8,MXRA8,Q9BRK3,54587,MXRA8,Human,RFU,Protein,SL017989
NoneX.10522.167,10522-167,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
DHX9.10527.22,10527-22,3.0,SL013075,ATP-dependent RNA helicase A,DHX9,Q08211,1660,DHX9,Human,RFU,Protein,SL013075
DPEP1.10528.2,10528-2,3.0,SL008734,Dipeptidase 1,DPEP1,P16444,1800,DPEP1,Human,RFU,Protein,SL008734
NoneX.10529.19,10529-19,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
PSMB6.10530.8,10530-8,3.0,SL016414,Proteasome subunit beta type-6,PSB6,P28072,5694,PSMB6,Human,RFU,Protein,SL016414
NRAS.10531.18,10531-18,3.0,SL010845,GTPase NRas,RASN,P01111,4893,NRAS,Human,RFU,Protein,SL010845
NoneX.10533.1,10533-1,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
PARP1.10534.40,10534-40,3.0,SL003527,Poly [ADP-ribose] polymerase 1,PARP,P09874,142,PARP1,Human,RFU,Protein,SL003527
COX6A2.10535.25,10535-25,3.0,SL018731,"Cytochrome c oxidase subunit 6A2, mitochondrial",CX6A2,Q02221,1339,COX6A2,Human,RFU,Protein,SL018731
CD99L2.10539.30,10539-30,3.0,SL014293,CD99 antigen-like protein 2,C99L2,Q8TCZ2,83692,CD99L2,Human,RFU,Protein,SL014293
TSPEAR.10546.2,10546-2,3.0,SL012744,Thrombospondin-type laminin G domain and EAR repeat-containing protein,TSEAR,Q8WU66,54084,TSPEAR,Human,RFU,Protein,SL012744
NoneX.10547.42,10547-42,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
NoneX.10548.35,10548-35,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
BMPR1B.10550.37,10550-37,3.0,SL004132,Bone morphogenetic protein receptor type-1B,BMP RIB,O00238,658,BMPR1B,Human,RFU,Protein,SL004132
LAT.10551.7,10551-7,3.0,SL007008,Linker for activation of T-cells family member 1,LAT,O43561,27040,LAT,Human,RFU,Protein,SL007008
KLRC4.10552.88,10552-88,3.0,SL017983,NKG2-F type II integral membrane protein,NKG2F,O43908,8302,KLRC4,Human,RFU,Protein,SL017983
TOR1AIP2.10553.8,10553-8,3.0,SL017988,Torsin-1A-interacting protein 2,TOIP2,Q8NFQ8,163590,TOR1AIP2,Human,RFU,Protein,SL017988
GLB1.10554.23,10554-23,3.0,SL009072,Beta-galactosidase,BGAL,P16278,2720,GLB1,Human,RFU,Protein,SL009072
TEX29.10557.6,10557-6,3.0,SL018003,Testis-expressed sequence 29 protein,TEX29,Q8N6K0,121793,TEX29,Human,RFU,Protein,SL018003
PCDH9.10558.26,10558-26,3.0,SL008436,Protocadherin-9,PCDH9,Q9HC56,5101,PCDH9,Human,RFU,Protein,SL008436
ITM2C.10560.1,10560-1,3.0,SL017978,Integral membrane protein 2C,ITM2C,Q9NQX7,81618,ITM2C,Human,RFU,Protein,SL017978
PGLYRP3.10561.5,10561-5,3.0,SL004512,Peptidoglycan recognition protein 3,PGRP-I-alpha,Q96LB9,114771,PGLYRP3,Human,RFU,Protein,SL004512
NETO2.10562.42,10562-42,3.0,SL015086,Neuropilin and tolloid-like protein 2,NETO2,Q8NC67,81831,NETO2,Human,RFU,Protein,SL015086
LYSMD3.10563.13,10563-13,3.0,SL018021,LysM and putative peptidoglycan-binding domain-containing protein 3,LYSM3,Q7Z3D4,116068,LYSMD3,Human,RFU,Protein,SL018021
SLITRK3.10565.19,10565-19,3.0,SL017951,SLIT and NTRK-like protein 3,SLIK3,O94933,22865,SLITRK3,Human,RFU,Protein,SL017951
MFAP2.10569.28,10569-28,3.0,SL012443,Microfibrillar-associated protein 2,MFAP2,P55001,4237,MFAP2,Human,RFU,Protein,SL012443
MGAT1.10571.14,10571-14,3.0,SL018096,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1,P26572,4245,MGAT1,Human,RFU,Protein,SL018096
CST8.10572.65,10572-65,3.0,SL012372,Cystatin-8,CST8,O60676,10047,CST8,Human,RFU,Protein,SL012372
B2M.10574.10,10574-10,3.0,SL000283,Beta-2-microglobulin,b2-Microglobulin,P61769,567,B2M,Human,RFU,Protein,SL000283
PUF60.10575.31,10575-31,3.0,SL018139,Poly(U)-binding-splicing factor PUF60,PUF60,Q9UHX1,22827,PUF60,Human,RFU,Protein,SL018139
PLXDC2.10576.7,10576-7,3.0,SL008729,Plexin domain-containing protein 2,PXDC2,Q6UX71,84898,PLXDC2,Human,RFU,Protein,SL008729
SFTA2.10580.14,10580-14,3.0,SL012586,Surfactant-associated protein 2,SFTA2,Q6UW10,389376,SFTA2,Human,RFU,Protein,SL012586
POMK.10582.36,10582-36,3.0,SL018286,Protein O-mannose kinase,SG196,Q9H5K3,84197,POMK,Human,RFU,Protein,SL018286
TMEM108.10583.1,10583-1,3.0,SL018282,Transmembrane protein 108,TM108,Q6UXF1,66000,TMEM108,Human,RFU,Protein,SL018282
NDUFS4.10584.7,10584-7,3.0,SL018289,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUS4,O43181,4724,NDUFS4,Human,RFU,Protein,SL018289
ST3GAL5.10588.39,10588-39,3.0,SL011395,"Lactosylceramide alpha-2,3-sialyltransferase",SIAT9,Q9UNP4,8869,ST3GAL5,Human,RFU,Protein,SL011395
RAET1L.10589.7,10589-7,3.0,SL018354,Retinoic acid early transcript 1L protein,RET1L,Q5VY80,154064,RAET1L,Human,RFU,Protein,SL018354
NoneX.10593.14,10593-14,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
CLGN.10600.24,10600-24,3.0,SL017410,Calmegin,CLGN,O14967,1047,CLGN,Human,RFU,Protein,SL017410
HTN3.10603.1,10603-1,3.0,SL012419,Histatin-3,HIS3,P15516,3347,HTN3,Human,RFU,Protein,SL012419
APMAP.10605.22,10605-22,3.0,SL004748,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,57136,APMAP,Human,RFU,Protein,SL004748
TOR1AIP1.10606.34,10606-34,3.0,SL018600,Torsin-1A-interacting protein 1,TOIP1,Q5JTV8,26092,TOR1AIP1,Human,RFU,Protein,SL018600
